date,exmn_ymd,item_cd,mrkt_cd,ctgry_cd,ctgry_nm,item_nm,price_type,split,log_price,price
2025-01-02,20250102,112,110403,100,식량작물,찹쌀,retail,test,8.382518288089635,4370.0
2024-01-02,20240102,112,110406,100,식량작물,찹쌀,retail,train,8.45531778769815,4700.0
2025-01-02,20250102,112,110406,100,식량작물,찹쌀,retail,test,8.40737832540903,4480.0
2024-01-02,20240102,112,110408,100,식량작물,찹쌀,retail,train,8.110727582974489,3330.0
2025-01-02,20250102,112,110408,100,식량작물,찹쌀,retail,test,8.373322820996535,4330.0
2024-01-02,20240102,112,110409,100,식량작물,찹쌀,retail,train,8.089482474360754,3260.0
2025-01-02,20250102,112,110409,100,식량작물,찹쌀,retail,test,8.509161019718974,4960.0
2024-01-02,20240102,112,110410,100,식량작물,찹쌀,retail,train,8.039157390473237,3100.0
2025-01-02,20250102,112,110410,100,식량작물,찹쌀,retail,test,8.389359819906353,4400.0
2024-01-02,20240102,112,110411,100,식량작물,찹쌀,retail,train,8.303999970955196,4040.0
2025-01-02,20250102,112,110411,100,식량작물,찹쌀,retail,test,8.749890955535259,6310.0
2024-01-02,20240102,112,210022,100,식량작물,찹쌀,retail,train,8.177515823846075,3560.0
2024-01-02,20240102,112,210022,100,식량작물,찹쌀,wholesale,train,11.48546500552035,97400.0
2024-01-03,20240103,112,210022,100,식량작물,찹쌀,wholesale,train,11.48546500552035,97400.0
2024-01-04,20240104,112,210022,100,식량작물,찹쌀,wholesale,train,11.48546500552035,97400.0
2024-01-05,20240105,112,210022,100,식량작물,찹쌀,wholesale,train,11.48546500552035,97400.0
2024-01-08,20240108,112,210022,100,식량작물,찹쌀,wholesale,train,11.48546500552035,97400.0
2024-01-09,20240109,112,210022,100,식량작물,찹쌀,wholesale,train,11.48546500552035,97400.0
2024-01-10,20240110,112,210022,100,식량작물,찹쌀,wholesale,train,11.48546500552035,97400.0
2025-01-02,20250102,112,210022,100,식량작물,찹쌀,retail,test,8.52912176228151,5060.0
2025-01-02,20250102,112,210022,100,식량작물,찹쌀,wholesale,test,11.811271137341386,135000.0
2025-01-03,20250103,112,210022,100,식량작물,찹쌀,wholesale,test,11.811271137341386,135000.0
2025-01-06,20250106,112,210022,100,식량작물,찹쌀,wholesale,test,11.811271137341386,135000.0
2025-01-07,20250107,112,210022,100,식량작물,찹쌀,wholesale,test,11.811271137341386,135000.0
2025-01-08,20250108,112,210022,100,식량작물,찹쌀,wholesale,test,11.82602835237326,137000.0
